"IDATid","SNPid","SAMPLE_ID","INVENTORY_SAMPLE_NAME","SampleType","Plate","GreenIDAT","RedIDAT"
"5745976022_R01C01","WG0117611.DNAA08",587451,"HCC1500","CellLine","WG0117611","5745976022_r01c01_grn.idat","5745976022_r01c01_red.idat"
"5745976024_R01C01","WG0117611.DNAA09",587459,"HCC38","CellLine","WG0117611","5745976024_r01c01_grn.idat","5745976024_r01c01_red.idat"
"5745976026_R01C01","WG0117611.DNAA10",587467,"MCF 10A","CellLine","WG0117611","5745976026_r01c01_grn.idat","5745976026_r01c01_red.idat"
"5745976028_R01C01","WG0117611.DNAA11",587475,"MDA-MB-453","CellLine","WG0117611","5745976028_r01c01_grn.idat","5745976028_r01c01_red.idat"
"5745976004_R03C01","WG0117611.DNAB02",586994,"HS852T","CellLine","WG0117611","5745976004_r03c01_grn.idat","5745976004_r03c01_red.idat"
"5745976006_R03C01","WG0117611.DNAB03",587002,"SK-MEL-31","CellLine","WG0117611","5745976006_r03c01_grn.idat","5745976006_r03c01_red.idat"
"5745976008_R03C01","WG0117611.DNAB04",587415,"ME-1","CellLine","WG0117611","5745976008_r03c01_grn.idat","5745976008_r03c01_red.idat"
"5745976013_R03C01","WG0117611.DNAB05",587424,"OCI-M1","CellLine","WG0117611","5745976013_r03c01_grn.idat","5745976013_r03c01_red.idat"
"5745976016_R03C01","WG0117611.DNAB06",587436,"BT-483","CellLine","WG0117611","5745976016_r03c01_grn.idat","5745976016_r03c01_red.idat"
"5745976019_R03C01","WG0117611.DNAB07",587444,"EFM-192A","CellLine","WG0117611","5745976019_r03c01_grn.idat","5745976019_r03c01_red.idat"
"5745976022_R03C01","WG0117611.DNAB08",587452,"HCC1569","CellLine","WG0117611","5745976022_r03c01_grn.idat","5745976022_r03c01_red.idat"
"5745976024_R03C01","WG0117611.DNAB09",587460,"HCC70","CellLine","WG0117611","5745976024_r03c01_grn.idat","5745976024_r03c01_red.idat"
"5745976026_R03C01","WG0117611.DNAB10",587468,"MCF-7","CellLine","WG0117611","5745976026_r03c01_grn.idat","5745976026_r03c01_red.idat"
"5745976028_R03C01","WG0117611.DNAB11",587476,"MDA-MB-468","CellLine","WG0117611","5745976028_r03c01_grn.idat","5745976028_r03c01_red.idat"
"5745976030_R03C01","WG0117611.DNAB12",587483,"ZR-75-30","CellLine","WG0117611","5745976030_r03c01_grn.idat","5745976030_r03c01_red.idat"
"5745976002_R02C01","WG0117611.DNAC01",586986,"a2780","CellLine","WG0117611","5745976002_r02c01_grn.idat","5745976002_r02c01_red.idat"
"5745896025_R01C01","WG0117611.DNAC02",586995,"IPC298","CellLine","WG0117611","5745896025_r01c01_grn.idat","5745896025_r01c01_red.idat"
"5745976006_R02C01","WG0117611.DNAC03",587003,"Hs936T","CellLine","WG0117611","5745976006_r02c01_grn.idat","5745976006_r02c01_red.idat"
"5745976008_R02C01","WG0117611.DNAC04",587417,"MOLM-13","CellLine","WG0117611","5745976008_r02c01_grn.idat","5745976008_r02c01_red.idat"
"5745976013_R02C01","WG0117611.DNAC05",587425,"OCI-M2","CellLine","WG0117611","5745976013_r02c01_grn.idat","5745976013_r02c01_red.idat"
"5745976016_R02C01","WG0117611.DNAC06",587437,"BT-549","CellLine","WG0117611","5745976016_r02c01_grn.idat","5745976016_r02c01_red.idat"
"5745976019_R02C01","WG0117611.DNAC07",587445,"EVSA-T","CellLine","WG0117611","5745976019_r02c01_grn.idat","5745976019_r02c01_red.idat"
"5745976022_R02C01","WG0117611.DNAC08",587453,"HCC1599","CellLine","WG0117611","5745976022_r02c01_grn.idat","5745976022_r02c01_red.idat"
"5745976024_R02C01","WG0117611.DNAC09",587461,"HDQ-P1","CellLine","WG0117611","5745976024_r02c01_grn.idat","5745976024_r02c01_red.idat"
"5745896025_R03C01","WG0117611.DNAC10",587469,"MDA-MB-157","CellLine","WG0117611","5745896025_r03c01_grn.idat","5745896025_r03c01_red.idat"
"5745976028_R02C01","WG0117611.DNAC11",587477,"MFM-223","CellLine","WG0117611","5745976028_r02c01_grn.idat","5745976028_r02c01_red.idat"
"5745976030_R02C01","WG0117611.DNAC12",587484,"C170","CellLine","WG0117611","5745976030_r02c01_grn.idat","5745976030_r02c01_red.idat"
"5745976002_R04C01","WG0117611.DNAD01",586988,"COLO679","CellLine","WG0117611","5745976002_r04c01_grn.idat","5745976002_r04c01_red.idat"
"5745976004_R04C01","WG0117611.DNAD02",586996,"MEL-HO","CellLine","WG0117611","5745976004_r04c01_grn.idat","5745976004_r04c01_red.idat"
"5745976006_R04C01","WG0117611.DNAD03",587405,"Daudi","CellLine","WG0117611","5745976006_r04c01_grn.idat","5745976006_r04c01_red.idat"
"5745976008_R04C01","WG0117611.DNAD04",587418,"MOLM-16","CellLine","WG0117611","5745976008_r04c01_grn.idat","5745976008_r04c01_red.idat"
"5745976013_R04C01","WG0117611.DNAD05",587427,"SIG-M5","CellLine","WG0117611","5745976013_r04c01_grn.idat","5745976013_r04c01_red.idat"
"5745976016_R04C01","WG0117611.DNAD06",587438,"CAL-120","CellLine","WG0117611","5745976016_r04c01_grn.idat","5745976016_r04c01_red.idat"
"5745976019_R04C01","WG0117611.DNAD07",587446,"HCC1143","CellLine","WG0117611","5745976019_r04c01_grn.idat","5745976019_r04c01_red.idat"
"5745976022_R04C01","WG0117611.DNAD08",587454,"HCC1806","CellLine","WG0117611","5745976022_r04c01_grn.idat","5745976022_r04c01_red.idat"
"5745976024_R04C01","WG0117611.DNAD09",587462,"Hs 578T","CellLine","WG0117611","5745976024_r04c01_grn.idat","5745976024_r04c01_red.idat"
"5745896025_R02C01","WG0117611.DNAD10",587470,"MDA-MB-231","CellLine","WG0117611","5745896025_r02c01_grn.idat","5745896025_r02c01_red.idat"
"5745976028_R04C01","WG0117611.DNAD11",587478,"SK-BR-3","CellLine","WG0117611","5745976028_r04c01_grn.idat","5745976028_r04c01_red.idat"
"5745976030_R04C01","WG0117611.DNAD12",587485,"CACO2","CellLine","WG0117611","5745976030_r04c01_grn.idat","5745976030_r04c01_red.idat"
"5745976003_R01C01","WG0117611.DNAE01",586989,"COLO783","CellLine","WG0117611","5745976003_r01c01_grn.idat","5745976003_r01c01_red.idat"
"5745976005_R01C01","WG0117611.DNAE02",586997,"MEL-JUSO","CellLine","WG0117611","5745976005_r01c01_grn.idat","5745976005_r01c01_red.idat"
"5745976007_R01C01","WG0117611.DNAE03",587406,"EOL-1","CellLine","WG0117611","5745976007_r01c01_grn.idat","5745976007_r01c01_red.idat"
"5745976012_R01C01","WG0117611.DNAE04",587419,"MV4-11","CellLine","WG0117611","5745976012_r01c01_grn.idat","5745976012_r01c01_red.idat"
"5745976014_R01C01","WG0117611.DNAE05",587428,"SKM-1","CellLine","WG0117611","5745976014_r01c01_grn.idat","5745976014_r01c01_red.idat"
"5745976017_R01C01","WG0117611.DNAE06",587439,"CAL-148","CellLine","WG0117611","5745976017_r01c01_grn.idat","5745976017_r01c01_red.idat"
"5745976020_R01C01","WG0117611.DNAE07",587447,"HCC1187","CellLine","WG0117611","5745976020_r01c01_grn.idat","5745976020_r01c01_red.idat"
"5745976023_R01C01","WG0117611.DNAE08",587455,"HCC1937","CellLine","WG0117611","5745976023_r01c01_grn.idat","5745976023_r01c01_red.idat"
"5745976025_R01C01","WG0117611.DNAE09",587463,"JIMT-1","CellLine","WG0117611","5745976025_r01c01_grn.idat","5745976025_r01c01_red.idat"
"5745976027_R01C01","WG0117611.DNAE10",587471,"MDA-MB-231 X1.1","CellLine","WG0117611","5745976027_r01c01_grn.idat","5745976027_r01c01_red.idat"
"5745976029_R01C01","WG0117611.DNAE11",587479,"T-47D","CellLine","WG0117611","5745976029_r01c01_grn.idat","5745976029_r01c01_red.idat"
"5745976036_R01C01","WG0117611.DNAE12",587486,"CL-11","CellLine","WG0117611","5745976036_r01c01_grn.idat","5745976036_r01c01_red.idat"
"5745976003_R03C01","WG0117611.DNAF01",586990,"COLO800","CellLine","WG0117611","5745976003_r03c01_grn.idat","5745976003_r03c01_red.idat"
"5745976005_R03C01","WG0117611.DNAF02",586998,"SK-MEL-1","CellLine","WG0117611","5745976005_r03c01_grn.idat","5745976005_r03c01_red.idat"
"5745976007_R03C01","WG0117611.DNAF03",587408,"GDM-1","CellLine","WG0117611","5745976007_r03c01_grn.idat","5745976007_r03c01_red.idat"
"5745976012_R03C01","WG0117611.DNAF04",587420,"NOMO-1","CellLine","WG0117611","5745976012_r03c01_grn.idat","5745976012_r03c01_red.idat"
"5745976014_R03C01","WG0117611.DNAF05",587429,"SUP-B15","CellLine","WG0117611","5745976014_r03c01_grn.idat","5745976014_r03c01_red.idat"
"5745976017_R03C01","WG0117611.DNAF06",587440,"CAL-51","CellLine","WG0117611","5745976017_r03c01_grn.idat","5745976017_r03c01_red.idat"
"5745976020_R03C01","WG0117611.DNAF07",587448,"HCC1395","CellLine","WG0117611","5745976020_r03c01_grn.idat","5745976020_r03c01_red.idat"
"5745976023_R03C01","WG0117611.DNAF08",587456,"HCC1954","CellLine","WG0117611","5745976023_r03c01_grn.idat","5745976023_r03c01_red.idat"
"5745976025_R03C01","WG0117611.DNAF09",587464,"KPL-1","CellLine","WG0117611","5745976025_r03c01_grn.idat","5745976025_r03c01_red.idat"
"5745976027_R03C01","WG0117611.DNAF10",587472,"MDA-MB-330","CellLine","WG0117611","5745976027_r03c01_grn.idat","5745976027_r03c01_red.idat"
"5745976029_R03C01","WG0117611.DNAF11",587480,"UACC-812","CellLine","WG0117611","5745976029_r03c01_grn.idat","5745976029_r03c01_red.idat"
