[Header],,,,,,,,,,,
Institute Name,"BHK Lab",,,,,,,,,,
Investigator Name,Rene Quevedo,,,,,,,,,,
Project Name,InfiniumOmni2.5-8v1.3_A1,,,,,,,,,,
Date,5/30/2017,,,,,,,,,,
,,,,,,,,,,,
[Manifests],,,,,,,,,,,
A,InfiniumOmni2-5-8v1-3_A1,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,

Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID
Unk90,5745781027,r01c01,_ega-box-147_5745781027_r01c01
Unk91,5745781027,r02c01,_ega-box-147_5745781027_r02c01
Unk92,5745781027,r03c01,_ega-box-147_5745781027_r03c01
Unk93,5745781027,r04c01,_ega-box-147_5745781027_r04c01
Unk94,5745781044,r01c01,_ega-box-147_5745781044_r01c01
Unk95,5745781051,r02c01,_ega-box-147_5745781051_r02c01
Unk96,5745781059,r01c01,_ega-box-147_5745781059_r01c01
Unk97,5745781060,r02c01,_ega-box-147_5745781060_r02c01
Unk98,5745781060,r03c01,_ega-box-147_5745781060_r03c01
Unk99,5745781060,r04c01,_ega-box-147_5745781060_r04c01
Unk100,5745896012,r01c01,_ega-box-147_5745896012_r01c01
Unk101,5745896025,r01c01,_ega-box-147_5745896025_r01c01
Unk102,5745896025,r02c01,_ega-box-147_5745896025_r02c01
Unk103,5745896025,r03c01,_ega-box-147_5745896025_r03c01
Unk104,5745896025,r04c01,_ega-box-147_5745896025_r04c01
Unk105,5745896026,r04c01,_ega-box-147_5745896026_r04c01
Unk106,5745896050,r01c01,_ega-box-147_5745896050_r01c01
Unk107,5745896050,r04c01,_ega-box-147_5745896050_r04c01
Unk108,5745896053,r02c01,_ega-box-147_5745896053_r02c01
Unk109,5745896053,r03c01,_ega-box-147_5745896053_r03c01
Unk110,5745896053,r04c01,_ega-box-147_5745896053_r04c01
Unk111,5745896058,r02c01,_ega-box-147_5745896058_r02c01
Unk112,5745968008,r01c01,_ega-box-147_5745968008_r01c01
Unk113,5745968008,r02c01,_ega-box-147_5745968008_r02c01
Unk114,5745968008,r03c01,_ega-box-147_5745968008_r03c01
Unk115,5745968008,r04c01,_ega-box-147_5745968008_r04c01
Unk116,5745968009,r01c01,_ega-box-147_5745968009_r01c01
Unk117,5745968009,r04c01,_ega-box-147_5745968009_r04c01
Unk118,5745968010,r01c01,_ega-box-147_5745968010_r01c01
Unk119,5745968010,r02c01,_ega-box-147_5745968010_r02c01
Unk120,5745968010,r03c01,_ega-box-147_5745968010_r03c01
Unk121,5745968010,r04c01,_ega-box-147_5745968010_r04c01
Unk122,5745968011,r01c01,_ega-box-147_5745968011_r01c01
Unk123,5745968011,r04c01,_ega-box-147_5745968011_r04c01
Unk124,5745976002,r02c01,_ega-box-147_5745976002_r02c01
Unk125,5745976002,r04c01,_ega-box-147_5745976002_r04c01
Unk126,5745976003,r03c01,_ega-box-147_5745976003_r03c01
Unk127,5745976004,r03c01,_ega-box-147_5745976004_r03c01
Unk128,5745976004,r04c01,_ega-box-147_5745976004_r04c01
Unk129,5745976005,r03c01,_ega-box-147_5745976005_r03c01
Unk130,5745976006,r01c01,_ega-box-147_5745976006_r01c01
Unk131,5745976006,r02c01,_ega-box-147_5745976006_r02c01
Unk132,5745976006,r04c01,_ega-box-147_5745976006_r04c01
Unk133,5745976007,r02c01,_ega-box-147_5745976007_r02c01
Unk134,5745976007,r04c01,_ega-box-147_5745976007_r04c01
Unk135,5745976008,r01c01,_ega-box-147_5745976008_r01c01
Unk136,5745976008,r03c01,_ega-box-147_5745976008_r03c01
Unk137,5745976008,r04c01,_ega-box-147_5745976008_r04c01
Unk138,5745976010,r01c01,_ega-box-147_5745976010_r01c01
Unk139,5745976010,r02c01,_ega-box-147_5745976010_r02c01
Unk140,5745976010,r04c01,_ega-box-147_5745976010_r04c01
Unk141,5745976011,r01c01,_ega-box-147_5745976011_r01c01
Unk142,5745976012,r01c01,_ega-box-147_5745976012_r01c01
Unk143,5745976012,r02c01,_ega-box-147_5745976012_r02c01
Unk144,5745976012,r04c01,_ega-box-147_5745976012_r04c01
Unk145,5745976013,r01c01,_ega-box-147_5745976013_r01c01
Unk146,5745976013,r02c01,_ega-box-147_5745976013_r02c01
Unk147,5745976013,r03c01,_ega-box-147_5745976013_r03c01
Unk148,5745976014,r01c01,_ega-box-147_5745976014_r01c01
Unk149,5745976014,r03c01,_ega-box-147_5745976014_r03c01
Unk150,5745976014,r04c01,_ega-box-147_5745976014_r04c01
Unk151,5745976016,r01c01,_ega-box-147_5745976016_r01c01
Unk152,5745976016,r02c01,_ega-box-147_5745976016_r02c01
Unk153,5745976016,r03c01,_ega-box-147_5745976016_r03c01
Unk154,5745976016,r04c01,_ega-box-147_5745976016_r04c01
Unk155,5745976017,r01c01,_ega-box-147_5745976017_r01c01
Unk156,5745976017,r02c01,_ega-box-147_5745976017_r02c01
Unk157,5745976017,r04c01,_ega-box-147_5745976017_r04c01
Unk158,5745976019,r01c01,_ega-box-147_5745976019_r01c01
Unk159,5745976019,r02c01,_ega-box-147_5745976019_r02c01
Unk160,5745976019,r03c01,_ega-box-147_5745976019_r03c01
Unk161,5745976019,r04c01,_ega-box-147_5745976019_r04c01
Unk162,5745976020,r01c01,_ega-box-147_5745976020_r01c01
Unk163,5745976020,r02c01,_ega-box-147_5745976020_r02c01
Unk164,5745976020,r03c01,_ega-box-147_5745976020_r03c01
Unk165,5745976020,r04c01,_ega-box-147_5745976020_r04c01
Unk166,5745976022,r01c01,_ega-box-147_5745976022_r01c01
Unk167,5745976022,r02c01,_ega-box-147_5745976022_r02c01
Unk168,5745976022,r03c01,_ega-box-147_5745976022_r03c01
Unk169,5745976022,r04c01,_ega-box-147_5745976022_r04c01
Unk170,5745976023,r01c01,_ega-box-147_5745976023_r01c01
Unk171,5745976023,r02c01,_ega-box-147_5745976023_r02c01
Unk172,5745976023,r03c01,_ega-box-147_5745976023_r03c01
Unk173,5745976023,r04c01,_ega-box-147_5745976023_r04c01
Unk174,5745976024,r01c01,_ega-box-147_5745976024_r01c01
Unk175,5745976024,r03c01,_ega-box-147_5745976024_r03c01
Unk176,5745976024,r04c01,_ega-box-147_5745976024_r04c01
Unk177,5745976025,r01c01,_ega-box-147_5745976025_r01c01
Unk178,5745976025,r02c01,_ega-box-147_5745976025_r02c01
Unk179,5745976025,r03c01,_ega-box-147_5745976025_r03c01
Unk180,5745976026,r01c01,_ega-box-147_5745976026_r01c01
Unk181,5745976026,r03c01,_ega-box-147_5745976026_r03c01
Unk182,5745976027,r02c01,_ega-box-147_5745976027_r02c01
Unk183,5745976027,r03c01,_ega-box-147_5745976027_r03c01
Unk184,5745976027,r04c01,_ega-box-147_5745976027_r04c01
Unk185,5745976028,r01c01,_ega-box-147_5745976028_r01c01
Unk186,5745976028,r02c01,_ega-box-147_5745976028_r02c01
Unk187,5745976028,r04c01,_ega-box-147_5745976028_r04c01
Unk188,5745976029,r01c01,_ega-box-147_5745976029_r01c01
